trading_date,exchange,symbol,period,timestamp,datetime,open,high,low,close,volume
2019-05-14,Okex,BTC-USDT,1h,1557792000.0,2019-05-14 00:00:00,7814.9,7970.0,7781.1,7895.7,2354.53465604
2019-05-14,Okex,BTC-USDT,1h,1557795600.0,2019-05-14 01:00:00,7895.7,8070.0,7893.1,7977.3,1576.95352696
2019-05-14,Okex,BTC-USDT,1h,1557799200.0,2019-05-14 02:00:00,7977.3,8030.0,7866.0,7898.4,1865.66523107
2019-05-14,Okex,BTC-USDT,1h,1557802800.0,2019-05-14 03:00:00,7898.4,7974.0,7851.0,7950.0,2280.48157605
2019-05-14,Okex,BTC-USDT,1h,1557806400.0,2019-05-14 04:00:00,7950.5,8036.7,7950.0,7999.9,5801.15150666
2019-05-14,Okex,BTC-USDT,1h,1557810000.0,2019-05-14 05:00:00,7995.5,8080.0,7954.0,7970.5,7667.64399657
2019-05-14,Okex,BTC-USDT,1h,1557813600.0,2019-05-14 06:00:00,7966.2,8042.6,7951.4,8041.2,5932.38586842
2019-05-14,Okex,BTC-USDT,1h,1557817200.0,2019-05-14 07:00:00,8037.2,8327.5,8037.1,8327.3,8939.94081033
2019-05-14,Okex,BTC-USDT,1h,1557820800.0,2019-05-14 08:00:00,8325.2,8349.0,7943.8,8020.3,11737.32538607
2019-05-14,Okex,BTC-USDT,1h,1557824400.0,2019-05-14 09:00:00,8020.2,8163.1,8011.4,8071.7,8135.47635357
2019-05-14,Okex,BTC-USDT,1h,1557828000.0,2019-05-14 10:00:00,8071.7,8110.8,7950.0,8087.4,7852.53128083
2019-05-14,Okex,BTC-USDT,1h,1557831600.0,2019-05-14 11:00:00,8087.3,8130.0,8031.1,8065.3,6151.44656024
2019-05-14,Okex,BTC-USDT,1h,1557835200.0,2019-05-14 12:00:00,8063.8,8221.2,8060.3,8212.4,7682.64171015
2019-05-14,Okex,BTC-USDT,1h,1557838800.0,2019-05-14 13:00:00,8212.8,8212.8,8100.0,8154.0,6928.05675861
2019-05-14,Okex,BTC-USDT,1h,1557842400.0,2019-05-14 14:00:00,8154.1,8189.1,7950.0,8062.0,8542.10679298
2019-05-14,Okex,BTC-USDT,1h,1557846000.0,2019-05-14 15:00:00,8062.2,8093.1,7944.9,7954.7,7149.14687691
2019-05-14,Okex,BTC-USDT,1h,1557849600.0,2019-05-14 16:00:00,7954.4,8048.8,7797.0,8019.2,8443.21739658
2019-05-14,Okex,BTC-USDT,1h,1557853200.0,2019-05-14 17:00:00,8017.7,8075.0,7951.0,8050.0,6376.86475465
2019-05-14,Okex,BTC-USDT,1h,1557856800.0,2019-05-14 18:00:00,8050.0,8058.8,7845.4,7865.3,8160.94799359
2019-05-14,Okex,BTC-USDT,1h,1557860400.0,2019-05-14 19:00:00,7858.7,7865.7,7744.6,7824.4,8638.72239604
2019-05-14,Okex,BTC-USDT,1h,1557864000.0,2019-05-14 20:00:00,7824.5,7916.2,7693.8,7774.2,7759.06885306
